site_name,longitude,latitude,depth_m
2Mile_shallow,32.7023,-27.4972,8.5
2Mile_mid,32.7061,-27.4989,15.2
2Mile_deep,32.7102,-27.5014,22.1
5Mile_shallow,32.7041,-27.4472,6.8
5Mile_mid,32.7083,-27.4491,18.4
5Mile_deep,32.7124,-27.4513,25.6
7Mile_shallow,32.7033,-27.4133,9.2
7Mile_mid,32.7074,-27.4151,19.7
7Mile_deep,32.7131,-27.4172,28.3
9Mile_shallow,32.7052,-27.3794,7.4
9Mile_mid,32.7091,-27.3812,16.9
9Mile_deep,32.7148,-27.3831,24.8
12Mile_A,32.7062,-27.3281,11.3
12Mile_B,32.7112,-27.3299,21.5
12Mile_C,32.7183,-27.3321,30.2
