cluster,candidate_reef,n_dives,centroid_lat,centroid_lon,max_depth_m,min_depth_m,elevation_m,alt_names
28,9 Mile,1,-27.413715,32.728189,19.3,19.3,-19.3,
33,Ramsey,1,-27.44329,32.713721,20.4,20.4,-20.4,
10,7 Mile,2,-27.451086,32.711859,24.2,23.0,-24.2,
31,7 Mile,1,-27.451831,32.711454,21.1,21.1,-21.1,
14,7 Mile,2,-27.45282,32.711376,22.5,22.2,-22.5,
26,Snappers College,1,-27.46263,32.707695,24.1,24.1,-24.1,
17,Snappers College,1,-27.463077,32.70747,23.3,23.3,-23.3,
15,UNNAMED,1,-27.491792,32.693051,20.0,20.0,-20.0,
35,Gotham,1,-27.49233,32.703356,40.2,40.2,-40.2,
22,Gotham,1,-27.492657,32.702858,38.6,38.6,-38.6,
16,Deep Blue,1,-27.492959,32.706305,33.0,33.0,-33.0,
4,Lettuce,5,-27.496809,32.699302,31.0,28.7,-31.0,
18,Hotspot,1,-27.498631,32.696034,30.5,30.5,-30.5,
0,Hotspot,13,-27.510782,32.695825,31.7,25.4,-31.7,
13,Hotspot 2,2,-27.511869,32.694313,28.6,27.4,-28.6,
20,Simons Cave,1,-27.517712,32.690026,15.4,15.4,-15.4,
19,Wayne's World,1,-27.517932,32.688364,20.3,20.3,-20.3,
21,Wayne's World,1,-27.518014,32.687719,14.6,14.6,-14.6,
7,Pinnacles,4,-27.519221,32.686475,13.2,12.0,-13.2,
2,4 Buoy,6,-27.520811,32.686798,16.3,12.7,-16.3,Pinnacles
29,UNNAMED,1,-27.521129,32.685916,13.6,13.6,-13.6,
5,Arches,5,-27.522147,32.686264,18.2,12.5,-18.2,
30,UNNAMED,1,-27.524175,32.68877,17.8,17.8,-17.8,
8,Caves,4,-27.526255,32.685219,16.3,13.9,-16.3,2 Buoy
6,2 Buoy,4,-27.52667,32.686236,16.9,14.4,-16.9,
23,2 Buoy,1,-27.527084,32.685664,16.3,16.3,-16.3,
11,Antons,2,-27.52739,32.684687,16.9,16.1,-16.9,
32,Southern Chain,1,-27.527498,32.685336,17.5,17.5,-17.5,
1,Bikini,9,-27.527638,32.689346,23.1,20.6,-23.1,Hopscotch
9,Roonies,2,-27.527734,32.691752,31.4,29.8,-31.4,
24,Antons,1,-27.527902,32.684781,17.2,17.2,-17.2,
3,Mellow Yellow,6,-27.529253,32.688233,20.4,18.8,-20.4,
12,Stringer,2,-27.529596,32.682793,14.8,13.0,-14.8,
25,Mellow Yellow,1,-27.531587,32.687129,19.0,19.0,-19.0,
27,Mellow Yellow,1,-27.532869,32.684892,18.3,18.3,-18.3,
34,Mseni,1,-27.572188,32.672821,11.0,11.0,-11.0,
